source,target,similarity,weight
942,985,0.8909574093837773,0.9454787046918887
615,663,0.8908857328195113,0.9454428664097556
720,745,0.8905826615095421,0.945291330754771
823,850,0.8903040468913446,0.9451520234456723
316,406,0.8902544929154754,0.9451272464577377
307,337,0.8901260559299436,0.9450630279649719
313,396,0.889717903539297,0.9448589517696485
235,802,0.8893541281455581,0.9446770640727791
115,200,0.8887496964956193,0.9443748482478096
897,903,0.888611228664423,0.9443056143322115
635,689,0.8882263861027133,0.9441131930513567
12,849,0.8880861958828488,0.9440430979414244
566,672,0.8875991521467002,0.9437995760733501
382,392,0.8875985672782465,0.9437992836391232
884,914,0.8872970622038571,0.9436485311019285
303,412,0.8870787895097374,0.9435393947548687
670,1161,0.8870379055477597,0.9435189527738799
135,175,0.8866796550161593,0.9433398275080797
1138,1139,0.886336527318556,0.943168263659278
227,235,0.8858027237920735,0.9429013618960367
861,997,0.8857578291086998,0.9428789145543499
201,701,0.8856578611846234,0.9428289305923117
313,316,0.8851946420004537,0.9425973210002269
287,295,0.8847685309267816,0.9423842654633908
1029,1030,0.884744196328697,0.9423720981643485
1138,1156,0.8845910175168523,0.9422955087584262
871,876,0.8844557104324196,0.9422278552162098
452,457,0.8842830729132043,0.9421415364566021
81,551,0.8842297427855842,0.942114871392792
304,362,0.8836401912901959,0.9418200956450979
329,1197,0.8832574661528708,0.9416287330764355
250,291,0.8831603849770148,0.9415801924885074
308,311,0.8831325381579999,0.9415662690789999
359,398,0.8828736850467469,0.9414368425233735
358,422,0.8828294318924584,0.9414147159462292
354,391,0.8827989120504482,0.9413994560252241
1013,1104,0.8824674248811055,0.9412337124405528
934,944,0.882186647719996,0.941093323859998
403,412,0.8820692303209917,0.9410346151604958
1099,1131,0.8819421820313272,0.9409710910156637
1027,1028,0.8818551754244806,0.9409275877122403
364,456,0.8818249384970711,0.9409124692485356
309,313,0.8816604331038204,0.9408302165519102
153,805,0.8815547298302372,0.9407773649151185
1174,1175,0.8815109384382708,0.9407554692191353
719,795,0.8814685584915903,0.9407342792457951
408,415,0.881124085674205,0.9405620428371024
340,466,0.8810649574137661,0.9405324787068831
68,775,0.8810072407498951,0.9405036203749475
848,856,0.8809920002526949,0.9404960001263474
744,745,0.8807739800046128,0.9403869900023064
1067,1085,0.8807709878463407,0.9403854939231704
209,848,0.8807629481902286,0.9403814740951143
115,840,0.8805988846416868,0.9402994423208434
315,333,0.8803163794504894,0.9401581897252447
224,821,0.8803124524829242,0.9401562262414621
323,428,0.8801207150525622,0.9400603575262811
317,359,0.8800163244784689,0.9400081622392344
104,242,0.8798910857612401,0.93994554288062
25,849,0.8797908908545119,0.9398954454272559
507,564,0.8797325984515638,0.9398662992257819
1056,1153,0.8797279179659623,0.9398639589829811
209,217,0.8797047614114317,0.9398523807057159
390,418,0.8796660290772936,0.9398330145386469
311,319,0.8794608574689587,0.9397304287344794
385,406,0.8793334789930545,0.9396667394965272
12,892,0.8790323514723029,0.9395161757361514
314,330,0.8788386359473767,0.9394193179736883
1156,1157,0.8785379302672188,0.9392689651336095
919,956,0.8779767211947253,0.9389883605973626
259,267,0.8773743291907401,0.93868716459537
1004,1023,0.8773459977373007,0.9386729988686504
